,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
,31820,58098,9827,162,3037,58549,27239,
,31582,58952,9851,168,3059,59322,27269,
,31580,59183,9916,169,3070,59614,27334,
,31342,58705,9888,169,3080,59265,27345,
,31330,58691,9909,170,3095,59621,27337,
,31357,58652,9888,169,3074,59269,27322,
,31609,59231,9867,168,3081,59127,27349,
,31582,59106,9868,170,3078,59820,27330,
,31348,58722,9890,170,3075,59501,27320,
,31411,58905,9917,170,3078,3078,59380,
MEDIA,"31496,1","58824,5","9882,1","168,5","3072,7","53716,6","30522,5",
