Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
0,0,0,0,0,0,0,0,0
100,"107,1","213,2","239,4","5,1",49,"620,4","185,1","5569,1"
150,"343,8","715,7","539,5","15,9","109,3","1827,3","569,7",0
200,"757,8","1693,5","938,4","33,7","195,9",3753,"1254,9",0
250,"1464,2","3285,2","1444,4",58,"300,6","6591,5","2345,5",0
300,2666,"5952,3",2079,"90,2","428,3","10702,7","4078,7",0
350,"4147,3","9391,9","2748,9","128,5","560,9","15210,9","6184,9",0
400,"6098,1","13733,5","3505,6","172,4","706,4","20477,8","8935,7",0
450,"8633,7","19302,7","4337,8",225,"866,5",27245,"12391,3",0
500,"11830,5","26228,4","5295,1","291,6","1052,8","34903,9","16893,1",0
